	Comments
MUHARREM SEKMEN	İÇİ GÖRÜNMEZ BİLİNMEZ DERİNLİKLERDEN ÇIKIYORSUN. SEN  SEVİYORSUN BEN KORKUYORUM.
MUHARREM SEKMEN	HER YÖNDEN FARKLI FARKLI GELİYORUM. HER YÖNDEN YAKLAŞIYORUM FARKLI. ANLADIĞINDA. ZIDDINA GİDİYORUM. HAYIR. SÜREKLİLİK ZIDDINA. HEP AYNILIK ARIYORSUN. GERÇEKTE HİÇBİRZAMAN AYNILIK VAR MI BİLMİYORSUN. BEN KENDİMİ DEĞİŞTİREBİLİRİM GERÇEĞİ DEĞİŞTİREBİLİRİM DİYORSUN. HEP DEĞİŞİM NE BİLMİYORSUN. OLDUĞUN GİBİSİN BİLİYORUM. OLMADIGİOLANI BİLMİYORSUN.
borna 001	Bravo, Vince!
kim thomas	She looks so sad :( this is truly when the weren’t together anymore. And Björn wrote it
D_dizzYdrake	I was 0 days old when this came out 😔 it was a good song I heard in the pasy
Scott Gauthier	Angnetha's vocals here are STUNNING❤️
Karen Cimino	I love this song .my heart was jaded
MUHARREM SEKMEN	GERÇEK BU KADAR BASİT DEĞİL. O KORKUNÇ BİR BİLİNME ARZUSUDUR. HAYIR ÇOK BELİRSİZ. TARİFSİZ BİR ACI. BELKİDE. HAYATTA ACELE ETME. BİR BELİRSİZLİK ACISI BELKİDE. ÇOK GERÇEK. DUYUYORUM. ÇOK ÖZGÜR HAREKET TE MAHSUSUSUM BEN. BELİRSİZLİĞDEN KURTULMAK İÇİN BANA TUTUNUYORSUN. HER ACI GERÇEKTİR. BELİRSİZLİK ACIDIR. ÖYLE ŞİMDİ SORUYORSUN ACI NEDİR. DÜŞÜNÜLEMEYEN ACIDIR. HAYIR GERÇEKTEN ACIDIR. ACIYA HEP KULAK VERDİM. ELİMDEN BİRŞEY GELMİYOR. ÜZGÜNÜM. ÇOÇUK ACIMAZ RUH ÇOÇUKTUR. KİMSE BENİ BİLMİYOR RUHLARDAN BAŞKA. GİZLİ BİR YERDEYİM. GERÇEKTE BENİ AFFET. BUNLAR SANA YARDIM DEĞİLDİR. BEN RUHUMU EĞLENDİRİYORUM. SENİN KADERİN BELİRSİZLİKTİR. KADERİNE ACIYORUM. ÇOK KORKUNÇ. TALİHSİZLERİN EN TALİHSİZİSİN. BİR BAŞINA VARLIK BU KADAR TALİHSİZ OLURMU. HİÇBİR RUH SANA İNANMAZ. ERKEKLER RUHTUR. HAYIR BENDE. HAYIR HİÇ BİR ŞEY YAPILAMAZ. BU SUSMA NOKTASIDIR. SEN KORKUNÇ ÇARESİZSİN. RUHLAR EĞLENİR BİLİYORUM. BENİM DOĞAM BÖYLE. RUH IŞIKTIR. BÜTÜN BUNLAR GERÇEK. BİLMEYE ÇALIŞMA. RUHA YALVARIYORUM ONA YARDIM. ET. BÜTÜN RUHLARA SESLENİYORUM. ONA YARDIM EDİN. BU BİR AŞK DEĞİL.
Filiz Ayin	Ingilizce bilmiyorum ama okadar güzel duygu ile yorumlamiski
MUHARREM SEKMEN	GERÇEKTE BİR YANILSAMA VAR. SENİ KENDİM SANIYORUM. GÖRDÜĞÜMÜ GERÇEK GÖREMEDİĞİMİ GERÇEK  SANMIYORUM. BEN BİR ŞEYLERİ ARIYORUM. HAYIR.
Katanga 416	Chi vince prende tutto.... è proprio vero,la vita insegna!!
Екатерина Борматенкова	"Эти слова решили всё!☕☕💖ключ к разгадке всего ""дела""☕☕🎶🎶🎶💝💝💝💝💝💝💝💝💝💝💝💝💝"
Pedgy	Slippin Jimmy approved.
MUHARREM SEKMEN	BUGÜN HİÇANLAŞIKMAZLIK ANI. BUGÜN SIFIR ALTI   AN 'I.
MUHARREM SEKMEN	HİÇ BİR ŞEY  OLAMAZ HERŞEY OLMUŞTUR. BU BİR YANILSAMADIR. UZAYDA  HERŞEY HER AN HERŞEYE TAM AÇIK. HERŞEY OLABİLİR. BİR  AN  HİÇBİR ŞEYDE OLAMAYABİLİR. BİR ANDA. BEKLE OLABİLECEKLERİ HER OLABİLECEKLERİ. GÖREBİLECEKSİN . HİÇ TAHMİN EDİLMEZ BİÇİMDE. ZERRE ŞÜPHE TEREDDÜT BUNUN GÖSTERGESİDİR. HESAP BİR KİMSEYLE DEĞİL HESAP HİÇ KİMSEYLE. HESAP UZAYDA YUTUCU BİR DELİKTİR. BUGÜN BUNU SÖYLEYEN  YER ÇEKİMDEN KOPUK HAREKET EDEN GERÇEK BİR UZAYLIDIR. BİÇİMDEN BİÇİÇİME  GEÇERDE  ONU ANLAYAMAZLAR. KÜÇÜK BİÇİMDE ONU KÜÇÜMSERLER. HAYIR İNSANLAR BİR GÖRDÜKLERİNE VAR BAŞKA BİR GÖRDÜKLARİNE YOK DERLER. BAŞKA GÖRÜLEBİLECEKLERİ TAHMİN BİLE EDEMEZLER. BUGÜN SONU  SONU SINIRSIZ HEP YOK. BUGÜN AKILLARA DEHŞET ANI. BUGÜN KORKUDAN DELİRME ANI. HAYIR BİRŞEY DEN DEĞİL. GÖRÜLMESİNDEN KORKULANDAN. İŞTE BEN BUNUN KORKUSUNDA. İŞTE BEN  BUNU DÜŞÜNMEKTEN ÇARESİZ. BİLİYORUM   DELİ  DİYECEKLER. DELİLİĞİN ÇARESİ BUNUN GİBİ BİLMEYECEKLER. HER NERDE GÖSRSELER DELİ DİYECEKLER. HAYIR HERHANGİ BİR DEĞİL. BELLİ BİRŞEY DEN HİÇ DEĞİL. BELKİHEP BİR  VARLIĞA  HİÇBİR  BİR   HİÇLİK  AŞKI.
Yunan Zambrano Mayorga	Me emociona tanto esta canción 🎶🥹☺️😍🥰😘
MUHARREM SEKMEN	GERÇEKLER ÖZGÜR BIRAKIR YALANLAR ZORLAR. SEN ÖZGÜR HAREKET EDERSİN. YALAN GEREKLİ HAREKET EDER. TANRI ZORUNLU HAREKET EDER.
MUHARREM SEKMEN	BEN YALACIYA HAK VERİRİM YALANDA BECERİ VARDIR. GERÇEKTE BECERİ BULUNMAZ. GERÇEK KENDİSİNİ TARAFINI  KURTARAMAZ. YALANCI KENDİSİNİ TARAFINI KURTARIR.
Mario Spoldi	Chuck mcgill moment
MUHARREM SEKMEN	HİÇBİR TAM YALAN SÖYLEMEZ. YALANI EKSİKLER UYDURUR. YALAN AYNILIK DEĞİL ONA UYDURMADIR.
MUHARREM SEKMEN	YALANI ELLERİMİZ AYAKLARIMIZ SÖYLER.
MUHARREM SEKMEN	YALAN NE BELİRLENEN NE BELİRLENEMEYEN DAVRANIŞTIR. BEN TAM BELİRSİZ DERSEM YALAN SÖYLEMEM. TAM BELİRLİ DERSEM YİNE YALAN SÖYLEMEM. BU DURUMDA YALAN TAM OLMAYAN DURUMU PERDELEMEK İÇİN SÖYLENİR.
MUHARREM SEKMEN	YALAN ZAYIFLIĞIN GÖSTERGESİDİR. DÜRÜSTLÜK GÜÇ GÖSTERGESİDİR. ŞEYTAN ZAYIFTAN ÇIKAR. TANRI GERÇEĞİ ŞEYTANA KARŞI KIŞKIRTIYOR YANILMA GERÇEK. SEN SENSİN. SEN YARATILMAZ SIN. SEN DEĞİŞMEZSİN BEN TANRI EN DEĞİŞGENİM. . SEN HEP KAPALI BİR KUTU BEN TANRI HEP AÇIK BİR KUTU. SEN HİÇ SIR VERMEZSİN SEN OLDUĞUN GİBİSİN SEN YALAN BİLMEZSİN. YALAN YARI SIR VERİR TANRI TAM SIR VERİR. TANRI GERÇEĞE ACIR. HEP SUSMAK İSTERSİN TANRI HEP KONUŞUR. HER YALAN TAM OLMAYAN DURUM DUR. SENİ BENİM İÇİN DEĞİL SENİ SENİN İÇİN ACIYORUM. YALAN YARATILIR GERÇEKLER YARATILMAZ. YALANDAN GERÇEKLER KORKUNÇ ACIR. SONUNU İYİ DÜŞÜN. YALANA KARŞI ÖNLEM AL. TANRI HEP DOĞRUYLA UYARICIIR. TANRI DEMEK DÜRÜST KİŞİLİKTİR. ÜSTÜN YÜCE KİŞİLİKTİR  ŞEYTAN DEMEK ZAYIF YALANCI KİŞİLİKTİR. TANRI BİLİRKİ ZAYIFTAN ADALET BULUNMAZ. TANRI GERÇEĞİ DE BİLİR GERÇEK AHMAKTIR. GÜÇLÜ Ahmaktır. ZAYIF ONA TUZAK KURAR O UYANMAZ. GERÇEK ZORUNLU HAREKETEDER. ZAYIF ŞÜPELİ  HAREKETEDER. TANRI TAM ÖZGÜR HAREKET  EDER. TAM BELİRLİLİK GÖSTERMEYEN  HERŞEY YALANDIR. BELİRSİZLİKTEN ÇIKIŞ YİNE BELİSİZLİKLEDİR.
MUHARREM SEKMEN	AKILLARA DURGUNLUKVEREN. BU NASIL BİRŞEY.
handan afacan	Müziğin müzik olduğu..dansın dans olduğu..sanatın sanat olduğu yıllar.. dünya sizi çok özlüyor..zira yeryüzü büyüsünü kaybetti..❤❤❤❤🌷🇹🇷🇹🇷🇹🇷🇹🇷
Jim Dunbar	Her hair is like my ex
S Manonmani	Masterpiece...🥰
Elliott Michelsen	It simple-just four chords over and over. Still takes my breath away and moves me to tears. Just such bittersweet reminiscence. Magic.
efrain Fabricio Ramos Cruz	"Magica , oerfecta y divina son angekes de Dios los que cantan, gracias ABBA, por esta joya del arte musical, buena para el cerebro.
Saludoa des San Isidro de Soledad Ecuador

Fabricio Ramos."
Alejandro Pandolfo	🥂🌹💐👏☀️❤️
Kyle Fredericks	Thank you to Jimmy and Chuck McGill for reminding me that this incredible song exists
Михаил коломотько	"я не хочу говорить
I don't wanna talk

О вещах, через которые мы прошли
About things we've gone through

Хотя мне больно
Though it's hurting me

Теперь это история
Now it's history
Я разыграл все свои карты
I've played all my cards

И это то, что вы тоже сделали
And that's what you've done too

Больше нечего сказать
Nothing more to say

Нет больше туза, чтобы играть
No more ace to play
Победитель получает все
The winner takes it all

Проигравший стоит маленький
The loser's standing small

Рядом с победой
Beside the victory

Это ее судьба
That's her destiny
я был в твоих объятиях
I was in your arms

Думая, что я был там
Thinking I belonged there

Я подумал, что это имеет смысл
I figured it made sense

Построить мне забор
Building me a fence
Построить мне дом
Building me a home

Думая, что я буду сильным там
Thinking I'd be strong there

Но я был дураком
But I was a fool

Игра по правилам
Playing by the rules
Боги могут бросить кости
The gods may throw a dice

Их умы холодны как лед
Their minds as cold as ice

И кто-то здесь внизу
And someone way down here

Потерять дорогого человека
Loses someone dear
Победитель получает все (берет все)
The winner takes it all (takes it all)

Проигравший должен упасть (должен упасть)
The loser has to fall (has to fall)

Это просто и понятно (это так просто)
It's simple and it's plain (it's so plain)

Почему я должен жаловаться?
Why should I complain?

(Зачем жаловаться?)
(Why complain?)
Но скажи мне, она целует
But tell me, does she kiss

Как будто я тебя целовал?
Like I used to kiss you?

Это чувствует то же самое
Does it feel the same

Когда она зовет тебя по имени?
When she calls your name?
Где-то глубоко внутри
Somewhere deep inside

Ты должен знать, что я скучаю по тебе
You must know I miss you

Но что я могу сказать?
But what can I say?

Правила должны соблюдаться
Rules must be obeyed
Судьи решат (решат)
The judges will decide (will decide)

Google
abba the winner takes it all текст песни

Все
ВидеоКартинкиНовостиПокупкиЕщё
Инструменты
Результатов: примерно 510 000 000 (0,48 сек.) 
The Winner Takes It All
Трек – ABBA
Обзор
Текст песни
Слушать
Видео
Другие записи
Текст песни
я не хочу говорить
I don't wanna talk

О вещах, через которые мы прошли
About things we've gone through

Хотя мне больно
Though it's hurting me

Теперь это история
Now it's history
Я разыграл все свои карты
I've played all my cards

И это то, что вы тоже сделали
And that's what you've done too

Больше нечего сказать
Nothing more to say

Нет больше туза, чтобы играть
No more ace to play
Победитель получает все
The winner takes it all

Проигравший стоит маленький
The loser's standing small

Рядом с победой
Beside the victory

Это ее судьба
That's her destiny
я был в твоих объятиях
I was in your arms

Думая, что я был там
Thinking I belonged there

Я подумал, что это имеет смысл
I figured it made sense

Построить мне забор
Building me a fence
Построить мне дом
Building me a home

Думая, что я буду сильным там
Thinking I'd be strong there

Но я был дураком
But I was a fool

Игра по правилам
Playing by the rules
Боги могут бросить кости
The gods may throw a dice

Их умы холодны как лед
Their minds as cold as ice

И кто-то здесь внизу
And someone way down here

Потерять дорогого человека
Loses someone dear
Победитель получает все (берет все)
The winner takes it all (takes it all)

Проигравший должен упасть (должен упасть)
The loser has to fall (has to fall)

Это просто и понятно (это так просто)
It's simple and it's plain (it's so plain)

Почему я должен жаловаться?
Why should I complain?

(Зачем жаловаться?)
(Why complain?)
Но скажи мне, она целует
But tell me, does she kiss

Как будто я тебя целовал?
Like I used to kiss you?

Это чувствует то же самое
Does it feel the same

Когда она зовет тебя по имени?
When she calls your name?
Где-то глубоко внутри
Somewhere deep inside

Ты должен знать, что я скучаю по тебе
You must know I miss you

Но что я могу сказать?
But what can I say?

Правила должны соблюдаться
Rules must be obeyed
Судьи решат (решат)
The judges will decide (will decide)

Такие, как я, остаются (я живу)
The likes of me abide (me abide)

Зрители шоу (шоу)
Spectators of the show (of the show)

Всегда оставаться на низком уровне (оставаться на низком уровне)
Always staying low (staying low)
Игра снова (снова)
The game is on again (on again)

Любовник или друг (или друг)
A lover or a friend (or a friend)

Большое или маленькое (большое или маленькое)
A big thing or a small (big or small)

Победитель получает все (берет все)
The winner takes it all (takes it all)
я не хочу говорить
I don't wanna talk

Если это заставляет вас грустить
If it makes you feel sad

И я понимаю
And I understand

Ты пришел пожать мне руку
You've come to shake my hand
Я прошу прощения
I apologize

Если это заставляет вас чувствовать себя плохо
If it makes you feel bad

Увидев меня таким напряженным
Seeing me so tense

Нет уверенности в себе
No self-confidence

Но ты видишь
But you see
Победитель получает все
The winner takes it all

Победитель получает все
The winner takes it all
Так что победитель получает все
So the winner takes it all

И проигравший должен упасть
And the loser has to fall

Бросьте кости, холодные, как лед
Throw the dice, cold as ice

Путь сюда, кто-то дорогой
Way down here, someone dear

Принимает все это, должен упасть
Takes it all, has to fall

И понятно, зачем жаловаться?
And it's plain, why complain?"
evilmonkeywithissues	I just learned the context behind this song recently (I was born a little over a decade after the peak of their popularity, but ABBA has always been a guilty pleasure of mine despite being a self-professed metalhead), and these must have been the most terrible circumstances to perform under despite claims from the group that it didn't feel weird or out of place to perform a song about their collective divorces.
Rei Pinari	"People watching cause of “Nostalgia “ 👺👺👹
People who watch cause of better call Saul : 💪💪💪💪💪"
SpeedrunsAndMemes	Better call Saul!
Rainer Christian Böckle	"Liebe ABBA! ❤️💛💛❤️
🎼""ARRIVAL""
Gut Angekommen!
""Punktlandung"" 🤗
MERCI!
Liebe Grüße vom schönen Bodensee sendet rainer christian"
Alicja Halczuk	😍💜💝👌
livia victoria	Linda  toca na alma
Seni Mendes	Casei com essa musica
Javy	AND HIS NAME IS SAUL GOODMAN
john e Lawler	IMHO their best
Joseph Clasen	The only things me and my older sister can agree on is liking ABBA and the BG's! At least that could be a start?
katy&Concy Balbo	41 anni di canzone,ma pur sempre un capolavoro!
BadBoy	와 이노래가43년이나됬다니 대박
J J	I bury my ex wife today she died suddenly I still loved her
Green Gnomo	So,so,so nice experience to see you all back on stage💖
Brandon the shapeshifter	LOVE LOVE LOVE THIS SONG
liftedbyyahweh	Vince Gilligan put me on
Марина Ветрова	Эта песня и этот голос никогда не состарятся. Они в нашем сердце и памяти.
Juan Lizarazo	"42 years later I discover this master piece.

Wow"
Jared Wilmarth	The Swedish metal band ABBA 😄
Isak Abelsen	God  agnetha  power  voice
Žaneta Štefancová	"Je mi z vás všetkých zle
Prestalo ma to tu baviť"
Luciana Blondhair	Quem ganhar o jogo leva tudo
Brian Maxwell	Vuntness fufck and die I'm just a man lovin'me whine ur life in shitiie bastardd u think ul crie. .if every cunt hates em selves I'm here
Julia White	It's an anthem for people that really love each other but come to the realization that it's over.
Julia White	How hard this must have been for both of them.  I love this song.
JORGE Mendez	Bjorn el guitarrista despues de terminar su romance con Agnetha , escribio esta musica para que lo cantara ella misma con mucho dolor. La letra donde el ganador es Bjorn.
Дмитрий Легостаев	👍👍👍
Nasreen Shah	My teenager memories 🥰
L.M. ll.	Your the winner. Nothing to say to you anymore.  I was always last.🥺😔😔💔Congratulations. Its over.🌷🌺💔💔
FJS Marchetaria & Projetos	Eu sempre fui e sou fã desse grupo maravilhoso..
Edouard Bujoni	Trop beau 🥰
Ronald Fernandes	So nice ur love story, anyway its my favorite song 💞💞🎉🌹
Žaneta Štefancová	Pre každého ale všetko znamená bohužiaľ niečo iné
Jimmy Carter	I remember when this song was released I was 10 in my old Nighbor hood and not yet knowing were my life was going I was adopted 3 years later but this song takes me right back at that time in my life. For it has a lot of meaning to me now I am bout ready to retire winner really dose take it all
cvthnmigbjyfv	🧡
Ritta Garcia	Estava eu ,no Instagram uma moça me posta uma broa de fubá com banana. E com está música de fundo. Resultado..Vim parar aqui😂😂 como sair agora do YouTube jesusss . Finalizar a noite por aqui.
christiane kuschel	Björn and Benny were „pushing“ the women to give their best (and beyond) in every recording. Especially in this record. Agnetha‘s voice is so crystal clear, so brilliant in every note. AND full of pain. A masterpiece.
Sasa Miljkovic	Agneta and actress Vera Farmiga are so similar (to me).
timsgta	Mammas and papas were better, this is crap...
rotory wankel	"The Winner Takes It All Lyrics
[Verse 1]
I don't wanna talk
About things we've gone through
Though it's hurting me, now it's history
I've played all my cards
And that's what you've done, too
Nothing more to say, no more ace to play

[Chorus]
The winner takes it all
The loser's standing small
Beside the victory
That's her destiny

[Verse 2]
I was in your arms
Thinking I belonged there
I figured it made sense, building me a fence
Building me a home
Thinking I'd be strong there
But I was a fool playing by the rules

[Chorus]
The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear
The winner takes it all (Takes it all)
The loser has to fall (Has to fall)
It's simple and it's plain (It seems plain)
Why should I complain? (Why complain)

[Verse 3]
But tell me, does she kiss
Like I used to kiss you?
Does it feel the same when she calls your name?
Somewhere deep inside
You must know I miss you
But what can I say? Rules must be obeyed

[Chorus]
The judges will decide (They decide)
The likes of me abide (We abide)
Spectators of the show (Of the show)
Always staying low (Staying low)
The game is on again (On again)
A lover or a friend (Or a friend)
A big thing or a small (Big or small)
The winner takes it all (Takes it all)

[Verse 4]
I don't wanna talk
If it makes you feel sad
And I understand, you've come to shake my hand
I apologize
If it makes you feel bad
Seeing me so tense, no self-confidence

[Bridge]
But you see, the winner takes it all
The winner takes it all

[Outro]
(So the winner)
(Takes it all)
(And the loser)
(Has to fall)
(Throw a dice)
(Cold as ice)
(Way down here)
(Someone dear)
(Takes it all)
(Has to fall)
(It seems plain)
(Why complain)"
Isak Abelsen	Abba  from  svenden
Sabrina Crivellari	❤️💖💖💖❤️
Rhay Santuz	Te doido siow essa música mexe comigo 🥃💔🥺
Jettera Ismabash	Better Call Saul Closing musix
Raymond McMillan	It is a great song.  A simpler time.
Куба Мелисбеков	Мене всего лишь 24я слышу эту песню и мои друзья издеваются что я старарамодныц
glen salt	Wow what talent
JADADY SEVA	Linda musica epoca em que as cantoras cantavam de roupa não precisavam apelar
Виктор Ткаченко	Боже, какая Агнетта милая, сексуальная, столько лет прошло, но нет ей равных, счастье просто смотреть и слушать её!
Bahman ELOY	2022 ?
Nguyen Uyen	Why i just know this til now. It brings tears to my eyes.
John Rebeiro	We are going home forever ,I got old man
Analía de los Ángeles	♥️♥️♥️♥️♥️♥️♥️💕💕
Herr S	Goosebumps all over my body, what's Abba's secret, it can't just be the time or the 70s, Abba is timeless,and  Agnetha was very young
Antonio Barbeito Cazorla	Esto es música.no la mierda de música actual.
игорь ищенко	СУПЕР
Eelco Dyk	Confession to make I’ve been in love with you for more than 40 years agnetha I still melt every time I hear this song love you
Nicola Rombi	As cold as ice, do never forget! Despite appearances.. gods are not emotional, they may need to draw attention at some point..
Ahmad Husnandar	LaGunya SeDiiH & SaNGaT INDaaH. 👍❤️😭👍
Pady Freber	Beste song ever
omar endin	It reminds me when I was 12th grade ini  my high school year ...great song
Loris Ferro	"Canzone fantastica,per me la più bella di tutti i tempi..Melodia superba grazie a Benny. Testo meraviglioso e per questo mi duole dirlo,bisogna ringraziare Bjorn. Agnetha fantastica, bellissima quando sorride, ancor di più quando è triste la frase: ""Ma dimmi, lei ti bacia come ti baciavo io"" è la più potente che sia mai stata scritta in una canzone d'amore.. Da pelle d'oca..Mi piace molto Agnetha alla fine quando dice: But you see: lì nel suo sguardo,si vede che ha la forza di rialzarsi ed andare avanti e ce l'ha fatta.Ora sono ritornati e le nuove canzoni per me sono una più bella dell'altra. E' bello vedere l'armonia, il rispetto e l'affetto reciproco e le belle parole dette durante le registrazioni. Per me sotto sotto c'è ancora l'amore nelle due coppie..Questa bellissima canzone degli Abba che preferisco. Una voce celestiale è un testo sempre attuale.Direi fantastica..Queste bellissime canzoni che riescono ancora ad emozionarti dopo tanti anni sono le vere canzoni,""perché sono immortali.💖💖💖Complimenti per questo bellissimo video degli Abba skv90s...👏🏻👏🏻👏🏻"
Euzineia Oliveira	Linda, amo esse grupo.
Christian S	What a voice, eternal
samuel matos	Brazil 2022
BadBoy	42년이 지난 지금도 명곡 !!!
Raimunda Silva	"Saudades dos meus 13 anos. Hj eu co 54 anos.
Tempos bons que não volta mais ."
Ирина Рыбина	""" Победитель ""   получает   все...Как  она  это  поет ,  сколько  внутренней  силы..."
joeffrey pumares	bigla akung natuwa narinig ko ito almost 6 years din aku nagtiis sa work ko andaming tupperware marites memosa sipsip crab mapanakit etc now i resign
Shishir Bhandari	McGill brothers brought me here.
OA Tv	All their sweet songs brings a lot of childhood memories in the late 70s..
Ann Pilkington	Old now,was young when this came out,rings true now
Леон Блайзер	Не превзойдённые.
Miguel Pazos	una voz inmortal
Rebecca Erb	When you just don't want to talk anymore
Edson Augusto	I found this song because of Jimmy and Chuck
Farid Amiraslan	ABBA ❣️🇦🇿
johanna	That's raw talent and gorgeous good looks.
Mohd Hairin	"Everyone is the winner with their role.
Please realize it."
Pascalinette	Supportez les agriculteurs!  J’aims  ABBA❤️
Elena Orlyak	Авва super!!😍❤❤❤
selin kose	I was 10 years old and our green grocery had it all time on display the poster and I was going his shop to listen to them this foreign band .. I have just not enough listen to them .. still my number one list
john mccoy	I don't have much time left on this earth, her song like a new life to me
Raffy	S‘all good, man.
giuseppe baratti	Ricordi indelebili... A cui non si potranno mai dimenticare ne si potranno tornare a vivere... Restano eternamente chiusi all interno di una porta chiamato amarezza... Ma comunque vissuti... Con un esperienza in piu... La vita è sempre una sorpresa miracolosa dipende da noi viverne ogni suo dono meraviglioso amore amare amarti vita... Loro ci hanno donato in ogni brano vita... Grazie ABBA❤️❤️❤️👏👍👍💯🙏🌹
Fabrice DEMANET	ma chanson prefere
Niederbayern-first	Für mich das beste Lied aller Abba-Songs
Nađa Srna Kosovac	"2:56 Is she pointing at Frida while singing ""spectators of the show""?"
maria Queiroz	Amo essa música,  dancei muito na minha juventude .
Juraj Husar	ABBA 👌 👌 👌 👌 👌
Sokol	Ohuititelno !
Antonio Lamossa	Rest in peace Chuck McGil
Diana Baumert	💃💃🥰🥰🥰
Jesus Carlos Branicio	Eu amo...
sennie sen	Non plus ultra -they were the best...they  ARE the best ...untill now
Kapwa poe dolomite tala britney	"This is my favorite main vocal song of 


Agnetha Falskog"
Katrina Hernandez	For some reason this song feels at home.
iawbp	You know what though, hats off to the rest of the support band in the background. so smooth. just listen to that bass player.
Chip Bruce	Skating rink memories
Светлана Юшина	Только их можно слушать вечно! Это как полотно Рембрандта. Ни кто и ни когда не будет лучше них!!!
hayat guzel	Кто слушает Аббу в 2022 году, у меня почему-то они ассоциируются с лунопарком, как же я их обожала
Bwiko Kyriakos	I'm hearing a breakup song in 2022...ohh my!
Candra Arisudono	pozwolenie na dzielenie się sir
Karera Ruíz	"For anyone looking at this for marching band, hello people.

This is not Karera the alto clarinet player"
"Ледокол ""Мавлютов"""	Победитель забирает всё! Увы
jean pierre bressler	Que dire?? C'est de l'ART...cette voix est exceptionnelle..la musique incroyable et les paroles on ne peut plus réalistes...le meilleur titre du répertoire d'Abba que personne ne pourra interpréter autre qu'Agnetha
Gabriel Santos	"The winner takes at aaaalll
Obrigado eu te amo i love you

Me empresta uma grana"
Гпбдылхаир Утенов	Я люблю её
pr0gadget	👍
Tri Febian	👍..
Papoula	Vim do plágio voz da verdade
musicman201047	Rock on, pretty songbird Agnetha, rock on forever. Sing of the heartbreak we all feel at times even today. ABBA forevermore!
Владимир Мягков	Прелесть!!!
Gaukhar	Ностальгия! Шедевр!💓☀️🎸🎶
Valeriy Duganov	Голоса льются ручьем рекой
fuck	I was 15 when this song came out, and I cannot appreciate it enough, it stays as one of my favorite songs, and one of the best of all time
